,steps,dc1,dc2,dc3,dc4
127,128,-5.896393082453666,0.11554982022504344,0.2004730402402604,0.17422724367985054
128,129,-7.019223458983221,0.0858054250352226,-0.020355822812296084,0.6049597914494895
129,130,-8.086699755986025,0.09085094185890817,-0.021371409416242895,0.06804557621818802
130,131,-8.654358709157933,0.12285240069166777,-0.020950949359466904,-1.3960513138629091
131,132,-8.514097085771228,0.17422810737026412,-0.020231575515004603,0.7197370026945973
132,133,-7.726771778555209,0.2161971457153448,-0.02139751935552843,-0.8637063605366905
133,134,-6.753308181939086,0.2461893437704542,-0.020883423654417373,-1.798878982006745
134,135,-5.755161631655308,0.265860597216537,0.02806641010745453,-1.6869365379850054
135,136,-5.013291752284099,0.2778195456028883,0.005096866277756874,-1.7315244118414308
136,137,-4.521806552864694,0.28409960377705235,-0.0047132681518585965,1.7609231198882276
137,138,-4.21084016537242,0.28815748752035136,-0.011808869238477779,1.5932389009344723
138,139,-4.02365991263732,0.2900325590207849,-0.014420763509798908,1.4380807928767647
139,140,-3.908335054500068,0.2910318218385227,-0.014870934876796686,1.2900064720207203
140,141,-3.8384495940022667,0.2915122194509915,-0.014743086208569315,1.2080343785995973
141,142,-3.7934991176198136,0.29244349303493716,-0.013820234906223843,1.1716493496276066
142,143,-3.7619178323347184,0.2907902811395172,-0.014391952542311024,1.136375327563622
143,144,-3.745799461053595,0.29004508335332524,-0.013709492749942391,1.116250179885407
144,145,-3.732995779971138,0.2878721116574538,-0.01400390482395895,1.0880617340841758
145,146,-3.732010812921173,0.2864550728899517,-0.012672297920379536,1.0661153222636839
146,147,-3.733642331578974,0.284815279922256,-0.012424703668530736,1.052191060162211
147,148,-3.7431482432347245,0.27753506433517067,-0.011397412609041768,1.0316571120355553
148,149,-3.7519995881799098,0.271160179071767,-0.013440290272477723,1.0038515252976041
149,150,-3.7615081715363554,0.2513574201340008,-0.014216385709181923,0.9748848379424586
150,151,-3.776353032074775,0.2209349217965891,-0.013965190086397154,0.8243997573303371
151,152,-3.805464775199345,0.17725362827411056,-0.009275304785014236,0.571749451299181
152,153,-3.8652182554735237,0.12676893839629486,-0.0022643359153905035,0.38555202866743016
153,154,-3.974067801296166,0.09201212640449995,0.01257781405452576,0.2941149077956896
154,155,-4.173306330574023,0.08787641288040583,0.030532448855868484,0.25540767758925703
155,156,-4.515841535413964,0.11551403641778352,0.05163018014158512,0.23700002851278487
156,157,-5.083096171189056,0.1622700535791007,0.06972706909489516,0.23333692602623932
157,158,-5.952390151320399,0.20626356081992825,0.07750603031661663,0.212334243906192
158,159,-7.051828005697146,0.24177541114491558,-0.02025318374062054,-1.8018971279871094
159,160,-8.096862906052923,0.26310345486714476,-0.021642412579175513,-0.9242267175158603
160,161,-8.622016879694925,0.2746482056844543,-0.020586310552198783,-1.2363149985949193
161,162,-8.455911893901177,0.2831772761449212,-0.0218449896943242,-0.013311974734526317
162,163,-7.717198183811124,0.2865078540056623,-0.02050077799246932,-0.8286398695537787
163,164,-6.6932153956558516,0.2897418155867953,-0.022326673057011658,-0.5358993891295635
164,165,-5.787815159551725,0.2908520082070413,0.008193144939967548,-1.7097962654682493
165,166,-5.015499467760432,0.2925096930783679,-0.0005932998010945683,-1.7852382860806557
166,167,-4.531527981722966,0.2929632528353905,-0.007025348292759367,1.720265813144383
167,168,-4.213850281673382,0.2941172806195299,-0.011082292652143338,1.61586873407358
